Rewardlist,ButtonData,Zposition(Inches),Zposition(mm)
2,1,11.023658553263544,280.00092725289403
2,1,11.001841833510996,279.44678257117926
2,1,11.02246763304472,279.9706778793359
2,1,11.00225836225748,279.45736240134
2,1,11.007979472589493,279.60267860377314
2,1,11.006887111285328,279.57493262664735
-1.4414396442443138,0,11.012719687056542,279.72308005123614
2,1,11.012939097973705,279.7286530885321
2,1,10.994946229445935,279.2716342279267
2,1,11.00129154623747,279.4328052744317
2,1,11.00243201367855,279.46177314743517
2,1,11.008175417098403,279.60765559429944
2,1,11.023873270899058,280.00638108083604
2,1,11.021342418769002,279.94209743673264
2,1,11.018734127491713,279.87584683828953
2,1,11.023890870705246,280.00682811591327
2,1,11.012351264446973,279.71372211695314
2,1,10.99659122466445,279.313417106477
2,1,11.013246507921815,279.7364613012141
2,1,11.019303187891841,279.89030097245274
2,1,11.02206283750236,279.96039607255994
2,1,10.994180051216484,279.2521733008987
2,1,10.991964822277428,279.19590648584665
2,1,11.005528406247496,279.5404215186864
2,1,11.00363818706274,279.4924099513936
-1.4969494329661135,0,11.065203482434153,281.05616845382747
2,1,10.994188264459371,279.252381917268
2,1,11.015777360051871,279.8007449453175
2,1,10.997847850826384,279.3453354109901
2,1,11.008972101658584,279.627891382128
-1.542835647663475,0,11.110317652300001,282.20206836842
2,1,11.012293771746755,279.71226180236755
2,1,11.019973153847456,279.90731810772536
2,1,11.021311912438273,279.94132257593213
-1.4606422061175106,0,11.027353339242936,280.09477481677055
2,1,11.001366638743878,279.4347126240945
-1.5392605403661737,0,11.107515763154627,282.13090038412753
2,1,11.002979954311252,279.4756908395058
2,1,11.00490185314715,279.5245070699376
2,1,11.017982029107213,279.8567435393232
2,1,11.029272891438007,280.14353144252533
-1.538413403028251,0,11.107554482728244,282.13188386129735
2,1,11.000372836354375,279.4094700434011
2,1,10.996346000698209,279.3071884177345
2,1,11.004536950498819,279.51523854267
2,1,11.006647753921152,279.5688529495973
2,1,11.026702146413923,280.07823451891363
2,1,11.00537352795303,279.53648761000693
2,1,11.023414502617717,279.99472836649
2,1,11.021999478200078,279.958786746282
2,1,11.004133328276874,279.5049865382326
2,1,11.009222018906474,279.63423928022445
2,1,11.009256045198441,279.6351035480404
2,1,11.02560157186687,280.05027992541847
2,1,11.023382822966576,279.993923703351
2,1,11.02420884053707,280.0149045496416
2,1,11.022491099452973,279.9712739261055
2,1,11.024397745123506,280.01970272613704
2,1,11.000805791586638,279.4204671063006
2,1,11.027021289566159,280.0863407549804
2,1,11.00783515417874,279.59901291613994
2,1,10.994952096047998,279.27178323961914
2,1,11.01493960927725,279.7794660756421
2,1,10.99322144843936,279.22782479035976
-1.604472515580058,0,11.172742991533875,283.7876719849604
2,1,10.999280475050211,279.38172406627535
2,1,11.026570734527708,280.07489665700376
2,1,11.005037958315015,279.5279641412014
2,1,11.011112238091231,279.68225084751725
2,1,11.001956818911433,279.44970320035037
2,1,11.013539838024974,279.74391188583434
-1.459639017164708,0,11.029694113466144,280.15423048204
2,1,11.010157155275346,279.65799174399376
2,1,11.002742943587899,279.46967076713264
2,1,11.010687496101857,279.67146240098714
2,1,11.015848932597041,279.8025628879648
2,1,11.00256459888518,279.4651408116835
2,1,11.024364892151953,280.0188682606596
2,1,11.0044794577986,279.51377822808445
2,1,11.008502773493529,279.6159704467356
2,1,11.024267506557702,280.01639466656565
2,1,11.009020207795501,279.6291132780057
2,1,11.008553226271271,279.61725194729024
-1.5346576043874016,0,11.103824497136474,282.03714222726643
2,1,11.018328158628941,279.8655352291751
2,1,11.005341848301887,279.5356829468679
2,1,11.000924296948314,279.4234771424872
2,1,10.99764603971541,279.3402094087714
2,1,11.001008776018024,279.4256229108578
2,1,11.0053430216223,279.5357127492064
2,1,11.02110540804565,279.93607736435945
2,1,11.022622511339188,279.97461178801535
2,1,11.00833850863576,279.6117981193483
2,1,11.006927004179358,279.5759459061557
2,1,11.005909735381604,279.55010727869274
2,1,10.994729165169597,279.26612079530776
2,1,11.00225836225748,279.45736240134
2,1,11.007669716000557,279.59481078641414
2,1,10.996313147726655,279.30635395225704
2,1,11.00982510559857,279.64955768220364
2,1,11.013705276203156,279.74811401556013
2,1,11.021437457722426,279.9445114261496
2,1,11.000542967814207,279.41379138248084
2,1,11.007183961349726,279.582472618283
2,1,10.995903658902645,279.29595293612715
2,1,10.995978751409053,279.2978602857899
-1.5293389429569242,0,11.097246862903237,281.8700703177422
2,1,10.994036906126142,279.248537415604
2,1,11.002775796559453,279.4705052326101
2,1,11.02206283750236,279.96039607255994
-1.5343818740904318,0,11.103797510766983,282.03645677348135
2,1,11.005940241712333,279.55088213949324
2,1,11.025648504683376,280.0514720189577
2,1,10.991777091011405,279.19113811168967
2,1,10.995170333644747,279.27732647457657
2,1,11.019175295966864,279.88705251755835
-1.464190327045321,0,11.033339619988203,280.24682634770033
2,1,11.002615051662922,279.4664223122382
2,1,10.997845504185557,279.3452758063131
2,1,11.019126016509533,279.88580081934214
2,1,10.998913225761056,279.3723959343308
2,1,10.995884885776043,279.2954760987115
2,1,11.007049029502273,279.5790453493577
2,1,11.021467964053155,279.94528628695014
2,1,11.00251649274826,279.4639189158058
2,1,10.990690596309305,279.1635411462563
2,1,11.015836026072503,279.80223506224155
2,1,10.999661804184317,279.39140982628163
2,1,11.001391278472543,279.4353384732026
2,1,10.993784642237426,279.2421299128306
2,1,10.99220183300078,279.2019265582198
2,1,11.02450217064023,280.02235513426183
2,1,11.019020417672396,279.8831186088788
2,1,11.003065606701375,279.4778664102149
2,1,10.999803775954247,279.3950159092378
2,1,10.997317509999872,279.33186475399674
2,1,10.995619715362787,279.28874077021476
2,1,11.021124181172253,279.9365542017752
2,1,10.99683644863069,279.3196457952195
2,1,11.012133026850224,279.70817888199565
2,1,11.02409737509787,280.0120733274859
-1.454107984739542,0,11.022827842411399,279.9798271972495
2,1,11.024806060627103,280.0300739399284
2,1,11.00747963809371,279.5899828075802
2,1,10.998328912195564,279.35755436976734
2,1,11.009444949784875,279.63990172453583
2,1,11.009209112381935,279.6339114545011
2,1,11.011100504887104,279.6819528241324
2,1,11.009921317872406,279.6520014739591
2,1,11.027042409333587,280.0868771970731
2,1,10.997116872209311,279.3267685541165
2,1,11.014733104884625,279.77422086406943
2,1,11.022389020577073,279.96868112265764
-1.5493722156822685,0,11.11778701004684,282.3917900551897
2,1,11.002429667037726,279.4617135427582
2,1,11.000230864584447,279.40586396044495
2,1,11.025560505652427,280.04923684357163
2,1,11.020490588149428,279.92046093899546
2,1,11.016990573358536,279.83156056330677
2,1,11.024632409206033,280.0256631938332
2,1,11.007731901982426,279.5963903103536
2,1,11.012449823361635,279.7162255133855
2,1,11.003719146171212,279.4944663127488
2,1,11.009310017937421,279.6364744556105
2,1,11.002292388549447,279.458226669156
2,1,11.001730368071795,279.44395134902356
2,1,10.995658434936404,279.28972424738464
2,1,11.01814981392622,279.861005273726
2,1,11.001268079829217,279.4322092276621
2,1,11.00236044113338,279.45995520478783
2,1,11.006123279696704,279.55553130429627
2,1,10.999959827569127,279.3989796202558
2,1,10.993975893464684,279.24698769400294
2,1,11.006329784089328,279.5607765158689
-1.5477413003087044,0,11.117122910693288,282.3749219316095
2,1,10.999659457543492,279.3913502216047
2,1,10.993472539007664,279.23420249079464
2,1,11.001001736095548,279.4254440968269
2,1,10.994995508903266,279.2728859261429
2,1,11.00088205741346,279.42240425830187
2,1,11.006125626337528,279.5555909089732
-1.5387161196947101,0,11.107304565480351,282.1255359632009
2,1,11.006632500755787,279.568465519197
2,1,11.011892496165633,279.70206940260704
2,1,11.016352287054062,279.8153480911732
2,1,10.996259174987674,279.30498304468694
2,1,11.001427651405335,279.43626234569547
2,1,11.006339170652629,279.56101493457675
2,1,11.000706059351563,279.4179339075297
2,1,11.000144038873911,279.40365858739733
2,1,11.001216453731061,279.43089792476894
2,1,10.993770562392474,279.2417722847688
2,1,11.011669565287233,279.6964069582957
-1.522486751747131,0,11.091045864522457,281.71256495887036
2,1,11.007302466711403,279.5854826544696
2,1,11.008886449268461,279.6257158114189
2,1,11.006671220329403,279.5694489963668
2,1,11.001573143136502,279.43995783566714
2,1,11.003265071171523,279.48293280775664
2,1,11.023623353651166,280.00003318273957
2,1,10.997453615167737,279.3353218252605
2,1,11.010526751205326,279.66737948061524
2,1,11.001393625113367,279.43539807787954
2,1,11.009366337317228,279.6379049678576
2,1,11.000113532543182,279.4028837265968
2,1,11.006126799657942,279.5556207113117
2,1,11.006390796750784,279.5623262374699
2,1,11.005086064451934,279.5291860370791
2,1,11.001061575436593,279.4269640160894
2,1,11.01188662956357,279.70192039091467
2,1,11.023134079039098,279.9876056075931
2,1,11.021025622257591,279.9340508053428
2,1,11.013959886732698,279.7545811230105
2,1,11.002855582347513,279.4725317916268
2,1,11.011377408504487,279.68898617601394
2,1,11.00413684823811,279.505075945248
2,1,11.009590441516043,279.64359721450745
2,1,10.997235377570988,279.3297785903031
-1.5213791372776022,0,11.091393167364597,281.72138645106077
-1.5675715886026609,0,11.136319605964422,282.8625179914963
2,1,11.01051149803996,279.66699205021496
2,1,11.018418504300714,279.8678300092381
2,1,11.025153363469244,280.03889543211875
2,1,10.995640835130216,279.28927721230747
-1.520244536438586,0,11.089104019239546,281.66324208868446
2,1,11.017245183888077,279.8380276707571
2,1,10.994346662715078,279.25640523296295
2,1,11.008716317808629,279.62139447233915
2,1,11.01236769093275,279.71413934969183
2,1,10.995519983127714,279.2862075714439
2,1,10.994625912973286,279.26349818952144
2,1,11.021830520060659,279.9544952095407
2,1,10.996963167235256,279.3228644477755
2,1,11.003248644685746,279.48251557501794
2,1,11.001774954247475,279.4450838378859
2,1,11.020328669932486,279.91634821628514
2,1,10.996150056189299,279.3022114272082
2,1,11.012371210893988,279.7142287567073
2,1,10.990085162976385,279.1481631396002
2,1,10.99387968119085,279.24454390224753
2,1,11.013235948038101,279.73619308016777
-1.544644907739757,0,11.112685412892699,282.26220948747454
2,1,11.004972252371907,279.5262952102464
2,1,11.011594472780823,279.6944996086329
2,1,10.997873663875462,279.3459910624367
2,1,10.9905509711802,279.15999466797706
2,1,11.002292388549447,279.458226669156
2,1,11.01647548569739,279.81847733671367
2,1,11.014527773812413,279.7690054548353
2,1,11.019469799390436,279.89453290451706
2,1,11.020338056495786,279.91658663499294
2,1,11.021792973807454,279.9535415347093
2,1,11.0122515322119,279.71118891818224
2,1,10.998395791459084,279.3592531030607
2,1,11.01942286657393,279.8933408109778
2,1,11.007848060703278,279.5993407418633
2,1,10.995101107740403,279.27556813660624
2,1,11.008074511542917,279.6050925931901
2,1,10.999132636678219,279.37796897162673
2,1,11.015491069871187,279.79347317472815
2,1,10.998021502247452,279.3497461570853
2,1,11.007756541711093,279.59701615946176
2,1,10.988227796763182,279.1009860377848
2,1,10.98944218339026,279.1318314581126
2,1,10.99614653622806,279.3021220201927
2,1,11.017364862570167,279.84106750928225
