Rewardlist,,ButtonData,Zposition(Inches),Zposition(mm),
1,0.887977095139086,1,11.0046413760155,279.517890950795,280.623362205098
0.477485088562965,0.877526796910346,0,11.0940178851277,281.788054282243,280.668576524901
1,0.877526796910346,1,11.0161974087596,279.811414182494,280.663487477582
1,0.877526796910346,1,11.023463782075,279.995980064706,280.668456123453
0.461062122747302,0.866748039365291,0,11.1123498432547,282.253686018669,280.715028833844
1,0.866748039365291,1,11.0245889963508,280.024560507309,280.719315006164
1,0.879275396321297,1,11.0219619319469,279.957833071451,280.629743481813
1,0.879275396321297,1,11.0069563371897,279.576690964618,280.629040146625
1,0.890257020965695,1,11.0211828471929,279.938044318699,280.577474352445
1,0.910257020965695,1,10.9949732158154,279.272319681712,280.411416318476
1,0.925542455282867,1,11.0133145605057,279.738189836846,280.246326264461
1,0.941966761325359,1,11.0144843609571,279.767902768311,280.052239727197
1,0.941966761325359,1,11.0101759284019,279.658468581409,280.052612852475
1,0.941966761325359,1,11.0275586703151,280.099990226005,280.061690048729
1,0.941966761325359,1,11.0237277791679,280.002685590864,280.070679030062
1,0.941966761325359,1,11.0182518928021,279.863598077174,280.070357164806
1,0.941966761325359,1,11.0261049263239,280.063065128627,280.085484235772
0,0.921966761325359,0,11.3508143105984,288.310683489199,280.265624470721
1,0.921966761325359,1,10.9879966526419,279.095114977104,280.257456841836
1,0.921966761325359,1,10.9922076996028,279.202075569912,280.240811639748
1,0.921966761325359,1,10.9969138877779,279.321612749559,280.23829453424
1,0.921966761325359,1,10.9931780355841,279.226722103836,280.235202243599
1,0.921966761325359,1,11.0129707776248,279.729457751671,280.229968356915
1,0.921966761325359,1,11.0035760010809,279.490830427454,280.22933833548
1,0.921966761325359,1,11.0060798668414,279.554428617772,280.232673217156
1,0.921966761325359,1,11.0055237129658,279.540302309332,280.231091905076
1,0.921966761325359,1,11.0120438544989,279.705913904271,280.224565192949
1,0.921966761325359,1,11.0014041849971,279.435666298926,280.223852321012
1,0.921966761325359,1,10.9956748614222,279.290141480123,280.216092388118
1,0.921966761325359,1,11.003701546365,279.494019277672,280.21978608995
1,0.921966761325359,1,11.0255827987403,280.049803088003,280.224021002248
1,0.921966761325359,1,10.9946845789939,279.264988306445,280.209253943531
1,0.921966761325359,1,11.0105818972647,279.668780190524,280.205771838303
1,0.921966761325359,1,11.0211159679294,279.936345585406,280.210333980277
1,0.921966761325359,1,11.003957330215,279.50051618746,280.215170303766
1,0.921966761325359,1,11.0076392096698,279.594035925614,280.215743104712
1,0.921966761325359,1,11.0100691562444,279.655756568608,280.222696586326
1,0.921966761325359,1,11.0224734996468,279.970826891028,280.22096507046
1,0.932377941051543,1,11.0051869700074,279.531749038188,280.176581639854
0.536221508419514,0.934770857633889,0,11.0398280818701,280.4116332795,280.116609798082
1,0.934770857633889,1,11.0234825552017,279.996456902122,280.116760001868
1,0.934770857633889,1,11.023068373096,279.985936676638,280.127447716494
0.437287131226064,0.92351660025841,0,11.1378742555112,282.902006089984,280.185290479205
1,0.92351660025841,1,11.0042764733672,279.508622423527,280.183069012894
1,0.92351660025841,1,11.0016271158755,279.441328743237,280.17839421808
1,0.92351660025841,1,10.9921021007657,279.199393359449,280.163116943328
0.509595348295569,0.913708507224321,0,11.0660459264904,281.077566532857,280.189163591114
1,0.913708507224321,1,11.0204178422838,279.91861319401,280.187588239502
1,0.928433023985028,1,11.0229416544914,279.982718024082,280.041926925989
0.473529825451969,0.917903620494068,0,11.099842247656,281.935993090462,280.085208266118
1,0.917903620494068,1,11.0179034166396,279.854746782645,280.091945382755
0.545427380377053,0.919262466330349,0,11.0265390548766,280.074091993865,280.057666136988
0.514330869480967,0.909549083719969,0,11.0611520070493,280.953260979053,280.080503072919
0.462264776170254,0.898794379243374,0,11.1113278811753,282.227728181852,280.125138035262
0.500516194942593,0.89958346068728,0,11.0746228987068,281.295421627153,280.105972747431
1,0.89958346068728,1,11.010457525301,279.665621142645,280.098793960138
1,0.89958346068728,1,11.0065210353166,279.565634297041,280.09094998465
1,0.89958346068728,1,11.0107074425489,279.671969040741,280.092855546172
0.541208120173216,0.890407623090744,0,11.0337174291611,280.256422700691,280.099223113812
0.213022187516092,0.874668066841066,0,11.3600671153724,288.545704730459,280.284690814787
0,0.854668066841066,0,11.1155260216117,282.334360948937,280.336614237029
1,0.854668066841066,1,11.0199144878268,279.905827990801,280.339372741479
1,0.854668066841066,1,11.0083256021112,279.611470293625,280.338432775723
0.492908385387063,0.844526234548807,0,11.0832749634296,281.515184071111,280.366736652625
0.483520648765564,0.834196647524118,0,11.0915304458529,281.724873324663,280.401180407301
0.52473000829816,0.824691247690081,0,11.0506507893562,280.686530049648,280.417639046751
1,0.824691247690082,1,11.0248119272292,280.030222951621,280.416982203211
