Rewardlist,,ButtonData,Zposition(Inches),Zposition(mm),,,,,
0.227191204819082,0.618925918720245,0,12.2086194777131,310.098934733913,304.679143446632,,,,
0.200928774023057,0.602944494200707,0,12.235856937772,310.79076621941,304.853755347791,,,,
0.25132523238659,0.587970998848438,0,12.1849747247577,309.498358008845,305.002464844484,,,,
0.355072569912672,0.586583547460496,0,12.0825943055123,306.897895360013,305.037987443813,,,,
0.252784842979908,0.582784382897198,0,12.1849805913597,309.498507020537,305.134489203955,,,,
0.056272446990015,0.573922645816684,0,12.3827789465219,314.522585241656,305.360895781254,,,,
0.197666943275928,0.567691328836441,0,12.2378163828611,310.840536124673,305.51869379909,,,,
0.342546201187373,0.574542252860189,0,12.0943345495611,307.196097558853,305.598889507755,,,,
0.111527625182271,0.566319553009212,0,12.324886144042,313.052108058667,305.807371766598,,,,
0.348053767204284,0.573280628353298,0,12.088857489875,307.056980242824,305.742558236917,,,,
0.4609318841815,0.579440325855553,0,11.9750606630147,304.166540840572,305.585693032275,,,,
0.459778510215878,0.568635896059871,0,11.9785207849115,304.254427936752,305.629129940611,,,,
0,0.568635896059871,0,12.0541025659323,306.17420517468,305.591541443179,,,,
0.44256120648086,0.568908387992501,0,11.9955902502745,304.687992356973,305.585310966296,,,,
0.419753030979633,0.577303448612094,0,12.0191763372093,305.287078965117,305.536959652345,,,,
0.449760700532794,0.56629866262275,0,11.9868325867146,304.465547702551,305.582436828773,,,,
1,0.56629866262275,1,11.9113540578902,302.54839307041,305.58772376362,,,,
0.401857548046111,0.554335813583672,0,12.0349856564492,305.68863567381,305.654470869022,,,,
0.360043928501009,0.541536692153692,0,12.0762220023513,306.736038859723,305.744596716869,,,,
0,0.521536692153692,0,12.1615071431845,308.902281436887,305.878439615034,,,,
0,0.501536692153692,0,11.9480015476584,303.479239310524,305.90483852646,,,,
0.344739137038589,0.488431474894464,0,12.0912146905839,307.116853140832,306.003784674404,,,,
0.41257113673389,0.476682897629142,0,12.022948562336,305.382893483334,306.07074516455,,,,
0.389138754773141,0.464465672724605,0,12.0482488703936,306.025521307998,306.145681952566,,,,
0.253746965718269,0.461313054641485,0,12.1850392573804,309.499997137461,306.226271648146,,,,
1,0.474263651736737,1,11.9031466816038,302.339925712736,306.133978574245,,,,
1,0.486118954226792,1,11.9078012436807,302.45815158949,306.072048122788,,,,
1,0.486118954226792,1,11.9062512874156,302.418782700357,306.074235614432,,,,
1,0.486118954226792,1,11.9064401920021,302.423580876852,306.075418171223,,,,
1,0.486118954226792,1,11.9125966042072,302.579953746862,306.079756199613,,,,
1,0.486118954226792,1,11.9039316329598,302.35986347718,306.076739010865,,,,
1,0.486118954226792,1,11.9061198755294,302.415444838447,306.080228268654,,,,
1,0.499009383451283,1,11.9042930156469,302.369042597432,305.990463029103,,,,
0.45819452765882,0.48817327400446,0,11.9778472989947,304.237321394464,306.027190835,,,,
0.352011376956105,0.489153864806116,0,12.087930566749,307.033436395424,306.003425258202,,,,
0.489489329704643,0.491940688517392,0,11.9475838455915,303.468629678025,305.932608941503,,,,
1,0.504979401975632,1,11.9056974801809,302.404715996594,305.838730979242,,,,
1,0.521017404005468,1,11.9139412294,302.614107226761,305.673004943323,,,,
1,0.535974402472734,1,11.9251569992244,302.8989877803,305.541039592483,,,,
1,0.547535201539218,1,11.9127139362484,302.58293398071,305.488581516289,,,,
1,0.562682512577414,1,11.9226601733863,302.835568404013,305.35122432637,,,,
1,0.575695389520168,1,11.9315668486387,303.061797955422,305.272099117703,,,,
1,0.587531074092925,1,11.9211020038784,302.79599089851,305.216825316569,,,,
1,0.587531074092925,1,11.9140362683535,302.616521216178,305.219811510885,,,,
1,0.597613372107446,1,11.9147027143478,302.633448944435,305.206889812967,,,,
1,0.597613372107446,1,11.9076240722984,302.453651436379,305.205813352501,,,,
1,0.597613372107446,1,11.9113587511718,302.548512279764,305.20679325339,,,,
0.374026387858391,0.596096902406931,0,12.063675687179,306.417362454346,305.246132340185,,,,
0.447036250534653,0.597180205677509,0,11.9902492957562,304.552332112208,305.219632100807,,,,
1,0.597180205677509,1,11.9079666818589,302.462353719216,305.217016647582,,,,
1,0.612636381581128,1,11.9070409320533,302.438839674154,305.063814746387,,,,
1,0.628617806100667,1,11.9057127333462,302.405103426994,304.896101490539,,,,
0.399962635579705,0.631590554164529,0,12.0384704180747,305.777148619098,304.821677302744,,,,
1,0.644489102766275,1,11.9090179769486,302.489056614495,304.733500527834,,,,
1,0.659433405906677,1,11.9160039266855,302.66649973781,304.596860382179,,,,
0,0.658307956966877,0,12.0376244540572,305.755661133053,304.421521900007,,,,
1,0.674354618101358,1,11.9162491506517,302.672728426553,304.258165746045,,,,
1,0.687503694077611,1,11.9327131826818,303.090914840118,304.17606209167,,,,
0.304475473758579,0.691362651049137,0,12.1307274287999,308.120476691517,304.077429464327,,,,
1,0.704401575705051,1,11.9142228262991,302.621259787996,303.98871505523,,,,
1,0.715182938021421,1,11.9046121587992,302.377148833499,303.952927215089,,,,
0.402482927826046,0.714037026373625,0,12.0358926331282,305.711672881455,303.982072113983,,,,
0.404493999013305,0.722126906353891,0,12.0333641276389,305.647448842029,303.97153698733,,,,
0.499822762578726,0.723272137475848,0,11.9375765957922,303.214445533121,303.942066050853,,,,
1,0.734877076856255,1,11.9103133226842,302.521958396178,303.886763639474,,,,
1,0.7458818628456,1,11.9315785818428,303.062095978807,303.858694604999,,,,
1,0.7458818628456,1,11.9334711476684,303.110167150776,303.869930086607,,,,
1,0.757844711884677,1,11.9308346967012,303.04320129621,303.817021399055,,,,
1,0.770643833314657,1,11.9375073698878,303.212687195151,303.746554365763,,,,
1,0.790643833314657,1,11.9334277348131,303.109064464253,303.630690026311,,,,
1,0.810643833314657,1,11.9396052667856,303.265973776355,303.626424715627,,,,
1,0.823749050573885,1,11.9359445070982,303.172990480294,303.547547462416,,,,
1,0.835497627839208,1,11.9369383094877,303.198233060988,303.503854253969,,,,
1,0.847714852743745,1,11.9347453736365,303.142532490367,303.446194477617,,,,
1,0.862639913429379,1,11.9358447748631,303.170457281523,303.319603680498,,,,
0.396572912907601,0.850571371687531,0,12.0416747561216,305.85853880549,303.389975942353,,,,
0.376080871900918,0.83809298912555,0,12.0605968944162,306.339161118172,303.467596132927,,,,
0.403738380667567,0.826167756738901,0,12.0345538745373,305.677668413249,303.532773847185,,,,
1,0.826167756738901,1,11.9320467366874,303.07398711186,303.545781971885,,,,
1,0.826167756738901,1,11.9386302375227,303.241208033077,303.559007057609,,,,
1,0.826167756738901,1,11.9089346711993,302.486940648463,303.561548601035,,,,
0.407423780083656,0.814316232340574,0,12.0285312208593,305.524693009826,303.623733564462,,,,
1,0.814316232340574,1,11.9384647993445,303.237005903351,303.641092830581,,,,
0.295992367175222,0.811072189130902,0,12.1404014556021,308.366196972292,303.723670342137,,,,
0.357069561254978,0.81117335281688,0,12.0783328057736,306.78965326665,303.718794679562,,,,
0.428507174578309,0.809953709714353,0,12.0093474321127,305.037424775662,303.750170581515,,,,
0.362648699817061,0.797206683710694,0,12.0758113402069,306.725608041254,303.836588422408,,,,
1,0.797206683710694,1,11.9257495260328,302.914037961233,303.842587037097,,,,
1,0.797206683710694,1,11.9405192833871,303.289189798031,303.850391077452,,,,
0.483813978868723,0.786882963288069,0,11.9527863483012,303.60077324685,303.870747862775,,,,
0.27520816938579,0.772387126675785,0,12.1615529026806,308.903443728088,303.992105369256,,,,
0.327849189698696,0.758944110469759,0,12.1100077636331,307.594197196282,304.082753354073,,,,
1,0.758944110469759,1,11.9378640592933,303.221747106049,304.091268478224,,,,
0.442450914362073,0.747793128757,0,11.9950270564765,304.673687234502,304.13241179859,,,,
