Rewardlist,,ButtonData,Zposition(Inches),Zposition(mm),,,,,,,
0.351978629827499,0.784133516378062,1,11.8992876307666,302.241905821472,303.114533497469,,,,,,
0.446796893170475,0.774266789717881,1,11.9334101350069,303.108617429175,303.138112012896,,,,,,
0.668612241744995,0.769864548789542,1,11.9220113271981,302.819087710833,303.149032441211,,,,,,
0.445543348789215,0.767060590597379,1,11.9009877720445,302.285089409931,303.099636585706,,,,,,
0.825630486011505,0.780721725813527,1,11.9177908936739,302.711888699317,302.927433808275,,,,,,
0.032634407281876,0.760979570860096,0,12.0907007762432,307.103799716577,303.027928510055,,,,,,
1,0.762919164389311,1,11.9244236739665,302.88036131875,303.046855427834,,,,,,
0.888362407684326,0.762985488545469,1,11.9145173297226,302.628740174955,303.059879657961,,,,,,
0.455824420425294,0.751879864472516,1,11.9243650079459,302.878871201826,303.07131889025,,,,,,
0.451327083283662,0.740682458008917,1,11.9261285085261,302.923664116563,303.082773327813,,,,,,
0.470391631126404,0.739562216688054,0,12.215799025318,310.281295243078,303.21566803721,,,,,,
0.094275966286659,0.732610000561573,0,12.1877637073785,309.569198167414,303.311420517905,,,,,,
1,0.736305478806277,1,11.9296860160172,303.014024806837,303.331183117584,,,,,,
0.763643264770508,0.746272543177191,1,11.9147930600196,302.635743724498,303.257224661272,,,,,,
0.786404490470886,0.742724048770082,1,11.9100657520771,302.515670102758,303.253770022852,,,,,,
0.45158404045403,0.734879972891844,1,11.9290406897903,302.997633520672,303.263491059096,,,,,,
0.735284090042114,0.729477607382499,0,12.0255193073601,305.448190406945,303.31402366094,,,,,,
0.274414360523224,0.715739840055911,0,12.1396998099953,308.34837517388,303.425896165698,,,,,,
0.02523609995842,0.695846699238736,0,11.9425972338378,303.341969739481,303.445754254503,,,,,,
1,0.697336620730709,1,11.9273616682798,302.954986374306,303.450636972325,,,,,,
0.81411349773407,0.698052779052635,1,11.9351313960522,303.152337459727,303.466546555386,,,,,,
1,0.708538248131166,1,11.9285009624004,302.983924444971,303.409397226189,,,,,,
0.883078813552856,0.70794342418684,1,11.927586945799,302.960708423294,303.419693630028,,,,,,
1,0.712129550837436,1,11.9265016244173,302.9331412602,303.416636153385,,,,,,
1,0.722786195332603,1,11.9081508931637,302.467032686357,303.368840500993,,,,,,
0.643161654472351,0.715503780117753,1,11.9271692437321,302.950098790795,303.368136800878,,,,,,
0.92041802406311,0.713879658159857,1,11.9391922580004,303.255483353209,303.380665339049,,,,,,
1,0.713879658159857,1,11.9272103099465,302.951141872642,303.389057434281,,,,,,
0.469314128160477,0.714247770356889,0,12.0483884955227,306.029067786278,303.451188011482,,,,,,
0.049368143081665,0.703011802166092,0,11.9567955841511,303.702607837439,303.471734595126,,,,,,
0.946598649024963,0.701921978676806,1,11.9272971356571,302.95334724569,303.48167702017,,,,,,
0.979140996932983,0.70467288995154,1,11.9243978609174,302.879705667303,303.48803951533,,,,,,
0.918977916240692,0.703179996742278,1,11.9251006798446,302.897557268053,303.493598563773,,,,,,
0.750101983547211,0.707005694105917,1,11.9254245162785,302.905782713474,303.492650362841,,,,,,
0.83328241109848,0.703603294332417,1,11.9350797699541,303.151026156834,303.497193090721,,,,,,
0.994735896587372,0.710887192364858,1,11.9328316880435,303.093924876304,303.501005357202,,,,,,
0.74770200252533,0.720907599243582,1,11.9237091218352,302.862211694615,303.497356091266,,,,,,
0.984197854995728,0.72451608755029,1,11.934127033779,303.126826657987,303.49825016142,,,,,,
0.913233280181885,0.722745338166247,1,11.9287180266768,302.98943787759,303.495873881085,,,,,,
1,0.722745338166247,1,11.9221791120172,302.823349445236,303.501264455084,,,,,,
0.968569755554199,0.724566581199364,1,11.9329431534827,303.09675609846,303.517299329609,,,,,,
0.484276056289673,0.725145646438489,1,11.9324562255114,303.08438812799,303.521413268741,,,,,,
0.98892879486084,0.724919703476465,1,11.921254535532,302.799865202513,303.518257261917,,,,,,
0.99627286195755,0.725348965180346,1,11.9326134504467,303.088381641347,303.519147074594,,,,,,
0.597003221511841,0.72252599432292,1,11.922650786823,302.835329985305,303.517607084369,,,,,,
0.002133251167834,0.707046312898732,0,12.032241260004,305.618928004103,303.570536645722,,,,,,
0.738618075847626,0.70171198791603,1,11.9310306412101,303.048178286736,303.575208314332,,,,,,
0.985298693180084,0.703492559902248,1,11.9135446471006,302.604034036354,303.569581146258,,,,,,
1,0.709723873967753,1,11.9340859675646,303.12578357614,303.572642272168,,,,,,
0.792941212654114,0.71872311035197,1,11.9362777300954,303.181454344423,303.59181673182,,,,,,
0.298163294792175,0.715689771609556,0,11.9703662080437,304.04730168431,303.610973553353,,,,,,
0.306845992803574,0.708306786937282,0,12.0439275313139,305.915759295373,303.674170932629,,,,,,
0.715233445167542,0.713810666455207,0,12.256432284528,311.313380027012,303.858421761549,,,,,,
0.11350679397583,0.69927752988305,0,12.2327628918439,310.712177452835,304.021692960601,,,,,,
1,0.719019684836481,1,11.8815106531948,301.790370591148,303.91325563151,,,,,,
0.465061724185944,0.708102577166807,0,12.1818888920724,309.41997785864,304.046717193549,,,,,,
0.896560549736023,0.70826988618827,1,11.9022549580902,302.317275935491,304.040360780499,,,,,,
